"Arsenal","[1, 'CRY (H)', 2]","[2, 'EVE (A)', 1]","['31 Aug 16:00', 'Gameweek 3', 'Leicester (A)']","['13 Sep 12:45', 'Gameweek 4', 'Man City (H)']","['20 Sep 15:00', 'Gameweek 5', 'Aston Villa (A)']","['27 Sep 17:30', 'Gameweek 6', 'Spurs (H)']","['05 Oct 14:05', 'Gameweek 7', 'Chelsea (A)']","['18 Oct 15:00', 'Gameweek 8', 'Hull (H)']","['25 Oct 15:00', 'Gameweek 9', 'Sunderland (A)']","['01 Nov 15:00', 'Gameweek 10', 'Burnley (H)']","['09 Nov 16:00', 'Gameweek 11', 'Swansea (A)']","['22 Nov 17:30', 'Gameweek 12', 'Man Utd (H)']","['29 Nov 12:45', 'Gameweek 13', 'West Brom (A)']","['03 Dec 19:45', 'Gameweek 14', 'Southampton (H)']","['06 Dec 15:00', 'Gameweek 15', 'Stoke (A)']","['13 Dec 15:00', 'Gameweek 16', 'Newcastle (H)']","['20 Dec 15:00', 'Gameweek 17', 'Liverpool (A)']","['26 Dec 15:00', 'Gameweek 18', 'QPR (H)']","['28 Dec 15:00', 'Gameweek 19', 'West Ham (A)']","['01 Jan 15:00', 'Gameweek 20', 'Southampton (A)']","['10 Jan 15:00', 'Gameweek 21', 'Stoke (H)']","['17 Jan 15:00', 'Gameweek 22', 'Man City (A)']","['31 Jan 15:00', 'Gameweek 23', 'Aston Villa (H)']","['07 Feb 15:00', 'Gameweek 24', 'Spurs (A)']","['10 Feb 19:45', 'Gameweek 25', 'Leicester (H)']","['21 Feb 15:00', 'Gameweek 26', 'Crystal Palace (A)']","['28 Feb 15:00', 'Gameweek 27', 'Everton (H)']","['03 Mar 19:45', 'Gameweek 28', 'QPR (A)']","['14 Mar 15:00', 'Gameweek 29', 'West Ham (H)']","['21 Mar 15:00', 'Gameweek 30', 'Newcastle (A)']","['04 Apr 15:00', 'Gameweek 31', 'Liverpool (H)']","['11 Apr 15:00', 'Gameweek 32', 'Burnley (A)']","['18 Apr 15:00', 'Gameweek 33', 'Sunderland (H)']","['25 Apr 15:00', 'Gameweek 34', 'Chelsea (H)']","['02 May 15:00', 'Gameweek 35', 'Hull (A)']","['09 May 15:00', 'Gameweek 36', 'Swansea (H)']","['16 May 15:00', 'Gameweek 37', 'Man Utd (A)']","['24 May 15:00', 'Gameweek 38', 'West Brom (H)']"
"West Ham","[1, 'TOT (H)', 0]","[2, 'CRY (A)', 0]","['30 Aug 15:00', 'Gameweek 3', 'Southampton (H)']","['15 Sep 20:00', 'Gameweek 4', 'Hull (A)']","['20 Sep 17:30', 'Gameweek 5', 'Liverpool (H)']","['27 Sep 15:00', 'Gameweek 6', 'Man Utd (A)']","['05 Oct 16:15', 'Gameweek 7', 'QPR (H)']","['18 Oct 15:00', 'Gameweek 8', 'Burnley (A)']","['25 Oct 12:45', 'Gameweek 9', 'Man City (H)']","['01 Nov 15:00', 'Gameweek 10', 'Stoke (A)']","['08 Nov 15:00', 'Gameweek 11', 'Aston Villa (H)']","['22 Nov 15:00', 'Gameweek 12', 'Everton (A)']","['29 Nov 15:00', 'Gameweek 13', 'Newcastle (H)']","['02 Dec 20:00', 'Gameweek 14', 'West Brom (A)']","['06 Dec 15:00', 'Gameweek 15', 'Swansea (H)']","['13 Dec 15:00', 'Gameweek 16', 'Sunderland (A)']","['20 Dec 15:00', 'Gameweek 17', 'Leicester (H)']","['26 Dec 15:00', 'Gameweek 18', 'Chelsea (A)']","['28 Dec 15:00', 'Gameweek 19', 'Arsenal (H)']","['01 Jan 15:00', 'Gameweek 20', 'West Brom (H)']","['10 Jan 15:00', 'Gameweek 21', 'Swansea (A)']","['17 Jan 15:00', 'Gameweek 22', 'Hull (H)']","['31 Jan 15:00', 'Gameweek 23', 'Liverpool (A)']","['07 Feb 15:00', 'Gameweek 24', 'Man Utd (H)']","['10 Feb 19:45', 'Gameweek 25', 'Southampton (A)']","['21 Feb 15:00', 'Gameweek 26', 'Spurs (A)']","['28 Feb 15:00', 'Gameweek 27', 'Crystal Palace (H)']","['03 Mar 19:45', 'Gameweek 28', 'Chelsea (H)']","['14 Mar 15:00', 'Gameweek 29', 'Arsenal (A)']","['21 Mar 15:00', 'Gameweek 30', 'Sunderland (H)']","['04 Apr 15:00', 'Gameweek 31', 'Leicester (A)']","['11 Apr 15:00', 'Gameweek 32', 'Stoke (H)']","['18 Apr 15:00', 'Gameweek 33', 'Man City (A)']","['25 Apr 15:00', 'Gameweek 34', 'QPR (A)']","['02 May 15:00', 'Gameweek 35', 'Burnley (H)']","['09 May 15:00', 'Gameweek 36', 'Aston Villa (A)']","['16 May 15:00', 'Gameweek 37', 'Everton (H)']","['24 May 15:00', 'Gameweek 38', 'Newcastle (A)']"
"Aston Villa","[1, 'STK (A)', 0]","[2, 'NEW (H)', 0]","['31 Aug 13:30', 'Gameweek 3', 'Hull (H)']","['13 Sep 17:30', 'Gameweek 4', 'Liverpool (A)']","['20 Sep 15:00', 'Gameweek 5', 'Arsenal (H)']","['27 Sep 15:00', 'Gameweek 6', 'Chelsea (A)']","['04 Oct 17:30', 'Gameweek 7', 'Man City (H)']","['18 Oct 15:00', 'Gameweek 8', 'Everton (A)']","['27 Oct 20:00', 'Gameweek 9', 'QPR (A)']","['02 Nov 16:00', 'Gameweek 10', 'Spurs (H)']","['08 Nov 15:00', 'Gameweek 11', 'West Ham (A)']","['24 Nov 20:00', 'Gameweek 12', 'Southampton (H)']","['29 Nov 15:00', 'Gameweek 13', 'Burnley (A)']","['02 Dec 20:00', 'Gameweek 14', 'Crystal Palace (A)']","['06 Dec 15:00', 'Gameweek 15', 'Leicester (H)']","['13 Dec 15:00', 'Gameweek 16', 'West Brom (A)']","['20 Dec 15:00', 'Gameweek 17', 'Man Utd (H)']","['26 Dec 15:00', 'Gameweek 18', 'Swansea (A)']","['28 Dec 15:00', 'Gameweek 19', 'Sunderland (H)']","['01 Jan 15:00', 'Gameweek 20', 'Crystal Palace (H)']","['10 Jan 15:00', 'Gameweek 21', 'Leicester (A)']","['17 Jan 15:00', 'Gameweek 22', 'Liverpool (H)']","['31 Jan 15:00', 'Gameweek 23', 'Arsenal (A)']","['07 Feb 15:00', 'Gameweek 24', 'Chelsea (H)']","['10 Feb 19:45', 'Gameweek 25', 'Hull (A)']","['21 Feb 15:00', 'Gameweek 26', 'Stoke (H)']","['28 Feb 15:00', 'Gameweek 27', 'Newcastle (A)']","['03 Mar 19:45', 'Gameweek 28', 'West Brom (H)']","['14 Mar 15:00', 'Gameweek 29', 'Sunderland (A)']","['21 Mar 15:00', 'Gameweek 30', 'Swansea (H)']","['04 Apr 15:00', 'Gameweek 31', 'Man Utd (A)']","['11 Apr 15:00', 'Gameweek 32', 'Spurs (A)']","['18 Apr 15:00', 'Gameweek 33', 'QPR (H)']","['25 Apr 15:00', 'Gameweek 34', 'Man City (A)']","['02 May 15:00', 'Gameweek 35', 'Everton (H)']","['09 May 15:00', 'Gameweek 36', 'West Ham (H)']","['16 May 15:00', 'Gameweek 37', 'Southampton (A)']","['24 May 15:00', 'Gameweek 38', 'Burnley (H)']"
"Burnley","[1, 'CHE (H)', 1]","[2, 'SWA (A)', 3]","['30 Aug 12:45', 'Gameweek 3', 'Man Utd (H)']","['13 Sep 15:00', 'Gameweek 4', 'Crystal Palace (A)']","['20 Sep 15:00', 'Gameweek 5', 'Sunderland (H)']","['28 Sep 16:00', 'Gameweek 6', 'West Brom (A)']","['04 Oct 15:00', 'Gameweek 7', 'Leicester (A)']","['18 Oct 15:00', 'Gameweek 8', 'West Ham (H)']","['26 Oct 13:30', 'Gameweek 9', 'Everton (H)']","['01 Nov 15:00', 'Gameweek 10', 'Arsenal (A)']","['08 Nov 15:00', 'Gameweek 11', 'Hull (H)']","['22 Nov 15:00', 'Gameweek 12', 'Stoke (A)']","['29 Nov 15:00', 'Gameweek 13', 'Aston Villa (H)']","['02 Dec 19:45', 'Gameweek 14', 'Newcastle (H)']","['06 Dec 15:00', 'Gameweek 15', 'QPR (A)']","['13 Dec 15:00', 'Gameweek 16', 'Southampton (H)']","['20 Dec 15:00', 'Gameweek 17', 'Spurs (A)']","['26 Dec 15:00', 'Gameweek 18', 'Liverpool (H)']","['28 Dec 15:00', 'Gameweek 19', 'Man City (A)']","['01 Jan 15:00', 'Gameweek 20', 'Newcastle (A)']","['10 Jan 15:00', 'Gameweek 21', 'QPR (H)']","['17 Jan 15:00', 'Gameweek 22', 'Crystal Palace (H)']","['31 Jan 15:00', 'Gameweek 23', 'Sunderland (A)']","['07 Feb 15:00', 'Gameweek 24', 'West Brom (H)']","['10 Feb 19:45', 'Gameweek 25', 'Man Utd (A)']","['21 Feb 15:00', 'Gameweek 26', 'Chelsea (A)']","['28 Feb 15:00', 'Gameweek 27', 'Swansea (H)']","['03 Mar 20:00', 'Gameweek 28', 'Liverpool (A)']","['14 Mar 15:00', 'Gameweek 29', 'Man City (H)']","['21 Mar 15:00', 'Gameweek 30', 'Southampton (A)']","['04 Apr 15:00', 'Gameweek 31', 'Spurs (H)']","['11 Apr 15:00', 'Gameweek 32', 'Arsenal (H)']","['18 Apr 15:00', 'Gameweek 33', 'Everton (A)']","['25 Apr 15:00', 'Gameweek 34', 'Leicester (H)']","['02 May 15:00', 'Gameweek 35', 'West Ham (A)']","['09 May 15:00', 'Gameweek 36', 'Hull (A)']","['16 May 15:00', 'Gameweek 37', 'Stoke (H)']","['24 May 15:00', 'Gameweek 38', 'Aston Villa (A)']"
"Chelsea","[1, 'BUR (A)', 0]","[2, 'LEI (H)', 0]","['30 Aug 17:30', 'Gameweek 3', 'Everton (A)']","['13 Sep 15:00', 'Gameweek 4', 'Swansea (H)']","['21 Sep 16:00', 'Gameweek 5', 'Man City (A)']","['27 Sep 15:00', 'Gameweek 6', 'Aston Villa (H)']","['05 Oct 14:05', 'Gameweek 7', 'Arsenal (H)']","['18 Oct 15:00', 'Gameweek 8', 'Crystal Palace (A)']","['26 Oct 16:00', 'Gameweek 9', 'Man Utd (A)']","['01 Nov 15:00', 'Gameweek 10', 'QPR (H)']","['08 Nov 12:45', 'Gameweek 11', 'Liverpool (A)']","['22 Nov 15:00', 'Gameweek 12', 'West Brom (H)']","['29 Nov 17:30', 'Gameweek 13', 'Sunderland (A)']","['03 Dec 19:45', 'Gameweek 14', 'Spurs (H)']","['06 Dec 15:00', 'Gameweek 15', 'Newcastle (A)']","['13 Dec 15:00', 'Gameweek 16', 'Hull (H)']","['20 Dec 15:00', 'Gameweek 17', 'Stoke (A)']","['26 Dec 15:00', 'Gameweek 18', 'West Ham (H)']","['28 Dec 15:00', 'Gameweek 19', 'Southampton (A)']","['01 Jan 15:00', 'Gameweek 20', 'Spurs (A)']","['10 Jan 15:00', 'Gameweek 21', 'Newcastle (H)']","['17 Jan 15:00', 'Gameweek 22', 'Swansea (A)']","['31 Jan 15:00', 'Gameweek 23', 'Man City (H)']","['07 Feb 15:00', 'Gameweek 24', 'Aston Villa (A)']","['11 Feb 19:45', 'Gameweek 25', 'Everton (H)']","['21 Feb 15:00', 'Gameweek 26', 'Burnley (H)']","['28 Feb 15:00', 'Gameweek 27', 'Leicester (A)']","['03 Mar 19:45', 'Gameweek 28', 'West Ham (A)']","['14 Mar 15:00', 'Gameweek 29', 'Southampton (H)']","['21 Mar 15:00', 'Gameweek 30', 'Hull (A)']","['04 Apr 15:00', 'Gameweek 31', 'Stoke (H)']","['11 Apr 15:00', 'Gameweek 32', 'QPR (A)']","['18 Apr 15:00', 'Gameweek 33', 'Man Utd (H)']","['25 Apr 15:00', 'Gameweek 34', 'Arsenal (A)']","['02 May 15:00', 'Gameweek 35', 'Crystal Palace (H)']","['09 May 15:00', 'Gameweek 36', 'Liverpool (H)']","['16 May 15:00', 'Gameweek 37', 'West Brom (A)']","['24 May 15:00', 'Gameweek 38', 'Sunderland (H)']"
"Southampton","[1, 'LIV (A)', 1]","[2, 'WBA (H)', 6]","['30 Aug 15:00', 'Gameweek 3', 'West Ham (A)']","['13 Sep 15:00', 'Gameweek 4', 'Newcastle (H)']","['20 Sep 15:00', 'Gameweek 5', 'Swansea (A)']","['27 Sep 15:00', 'Gameweek 6', 'QPR (H)']","['04 Oct 15:00', 'Gameweek 7', 'Spurs (A)']","['18 Oct 15:00', 'Gameweek 8', 'Sunderland (H)']","['25 Oct 15:00', 'Gameweek 9', 'Stoke (H)']","['01 Nov 15:00', 'Gameweek 10', 'Hull (A)']","['08 Nov 15:00', 'Gameweek 11', 'Leicester (H)']","['24 Nov 20:00', 'Gameweek 12', 'Aston Villa (A)']","['30 Nov 13:30', 'Gameweek 13', 'Man City (H)']","['03 Dec 19:45', 'Gameweek 14', 'Arsenal (A)']","['06 Dec 15:00', 'Gameweek 15', 'Man Utd (H)']","['13 Dec 15:00', 'Gameweek 16', 'Burnley (A)']","['20 Dec 15:00', 'Gameweek 17', 'Everton (H)']","['26 Dec 15:00', 'Gameweek 18', 'Crystal Palace (A)']","['28 Dec 15:00', 'Gameweek 19', 'Chelsea (H)']","['01 Jan 15:00', 'Gameweek 20', 'Arsenal (H)']","['10 Jan 15:00', 'Gameweek 21', 'Man Utd (A)']","['17 Jan 15:00', 'Gameweek 22', 'Newcastle (A)']","['31 Jan 15:00', 'Gameweek 23', 'Swansea (H)']","['07 Feb 15:00', 'Gameweek 24', 'QPR (A)']","['10 Feb 19:45', 'Gameweek 25', 'West Ham (H)']","['21 Feb 15:00', 'Gameweek 26', 'Liverpool (H)']","['28 Feb 15:00', 'Gameweek 27', 'West Brom (A)']","['03 Mar 19:45', 'Gameweek 28', 'Crystal Palace (H)']","['14 Mar 15:00', 'Gameweek 29', 'Chelsea (A)']","['21 Mar 15:00', 'Gameweek 30', 'Burnley (H)']","['04 Apr 15:00', 'Gameweek 31', 'Everton (A)']","['11 Apr 15:00', 'Gameweek 32', 'Hull (H)']","['18 Apr 15:00', 'Gameweek 33', 'Stoke (A)']","['25 Apr 15:00', 'Gameweek 34', 'Spurs (H)']","['02 May 15:00', 'Gameweek 35', 'Sunderland (A)']","['09 May 15:00', 'Gameweek 36', 'Leicester (A)']","['16 May 15:00', 'Gameweek 37', 'Aston Villa (H)']","['24 May 15:00', 'Gameweek 38', 'Man City (A)']"
"Stoke","[1, 'BUR (A)', 0]","[2, 'HUL (A)', 0]","['30 Aug 15:00', 'Gameweek 3', 'Man City (A)']","['13 Sep 15:00', 'Gameweek 4', 'Leicester (H)']","['20 Sep 12:45', 'Gameweek 5', 'QPR (A)']","['29 Sep 20:00', 'Gameweek 6', 'Newcastle (H)']","['04 Oct 15:00', 'Gameweek 7', 'Sunderland (A)']","['19 Oct 16:00', 'Gameweek 8', 'Swansea (H)']","['25 Oct 15:00', 'Gameweek 9', 'Southampton (A)']","['01 Nov 15:00', 'Gameweek 10', 'West Ham (H)']","['08 Nov 15:00', 'Gameweek 11', 'Spurs (A)']","['22 Nov 15:00', 'Gameweek 12', 'Burnley (H)']","['29 Nov 15:00', 'Gameweek 13', 'Liverpool (A)']","['02 Dec 19:45', 'Gameweek 14', 'Man Utd (A)']","['06 Dec 15:00', 'Gameweek 15', 'Arsenal (H)']","['13 Dec 15:00', 'Gameweek 16', 'Crystal Palace (A)']","['20 Dec 15:00', 'Gameweek 17', 'Chelsea (H)']","['26 Dec 15:00', 'Gameweek 18', 'Everton (A)']","['28 Dec 15:00', 'Gameweek 19', 'West Brom (H)']","['01 Jan 15:00', 'Gameweek 20', 'Man Utd (H)']","['10 Jan 15:00', 'Gameweek 21', 'Arsenal (A)']","['17 Jan 15:00', 'Gameweek 22', 'Leicester (A)']","['31 Jan 15:00', 'Gameweek 23', 'QPR (H)']","['07 Feb 15:00', 'Gameweek 24', 'Newcastle (A)']","['11 Feb 19:45', 'Gameweek 25', 'Man City (H)']","['21 Feb 15:00', 'Gameweek 26', 'Aston Villa (A)']","['28 Feb 15:00', 'Gameweek 27', 'Hull (H)']","['04 Mar 19:45', 'Gameweek 28', 'Everton (H)']","['14 Mar 15:00', 'Gameweek 29', 'West Brom (A)']","['21 Mar 15:00', 'Gameweek 30', 'Crystal Palace (H)']","['04 Apr 15:00', 'Gameweek 31', 'Chelsea (A)']","['11 Apr 15:00', 'Gameweek 32', 'West Ham (A)']","['18 Apr 15:00', 'Gameweek 33', 'Southampton (H)']","['25 Apr 15:00', 'Gameweek 34', 'Sunderland (H)']","['02 May 15:00', 'Gameweek 35', 'Swansea (A)']","['09 May 15:00', 'Gameweek 36', 'Spurs (H)']","['16 May 15:00', 'Gameweek 37', 'Burnley (A)']","['24 May 15:00', 'Gameweek 38', 'Liverpool (H)']"
"Everton","[1, 'LEI (A)', 2]","[2, 'ARS (H)', 5]","['30 Aug 17:30', 'Gameweek 3', 'Chelsea (H)']","['13 Sep 15:00', 'Gameweek 4', 'West Brom (A)']","['21 Sep 16:00', 'Gameweek 5', 'Crystal Palace (H)']","['27 Sep 12:45', 'Gameweek 6', 'Liverpool (A)']","['05 Oct 12:00', 'Gameweek 7', 'Man Utd (A)']","['18 Oct 15:00', 'Gameweek 8', 'Aston Villa (H)']","['26 Oct 13:30', 'Gameweek 9', 'Burnley (A)']","['01 Nov 15:00', 'Gameweek 10', 'Swansea (H)']","['09 Nov 13:30', 'Gameweek 11', 'Sunderland (A)']","['22 Nov 15:00', 'Gameweek 12', 'West Ham (H)']","['30 Nov 16:00', 'Gameweek 13', 'Spurs (A)']","['03 Dec 19:45', 'Gameweek 14', 'Hull (H)']","['06 Dec 15:00', 'Gameweek 15', 'Man City (A)']","['14 Dec 16:00', 'Gameweek 16', 'QPR (H)']","['20 Dec 15:00', 'Gameweek 17', 'Southampton (A)']","['26 Dec 15:00', 'Gameweek 18', 'Stoke (H)']","['28 Dec 15:00', 'Gameweek 19', 'Newcastle (A)']","['01 Jan 15:00', 'Gameweek 20', 'Hull (A)']","['10 Jan 15:00', 'Gameweek 21', 'Man City (H)']","['17 Jan 15:00', 'Gameweek 22', 'West Brom (H)']","['31 Jan 15:00', 'Gameweek 23', 'Crystal Palace (A)']","['07 Feb 15:00', 'Gameweek 24', 'Liverpool (H)']","['11 Feb 19:45', 'Gameweek 25', 'Chelsea (A)']","['21 Feb 15:00', 'Gameweek 26', 'Leicester (H)']","['28 Feb 15:00', 'Gameweek 27', 'Arsenal (A)']","['04 Mar 19:45', 'Gameweek 28', 'Stoke (A)']","['14 Mar 15:00', 'Gameweek 29', 'Newcastle (H)']","['21 Mar 15:00', 'Gameweek 30', 'QPR (A)']","['04 Apr 15:00', 'Gameweek 31', 'Southampton (H)']","['11 Apr 15:00', 'Gameweek 32', 'Swansea (A)']","['18 Apr 15:00', 'Gameweek 33', 'Burnley (H)']","['25 Apr 15:00', 'Gameweek 34', 'Man Utd (H)']","['02 May 15:00', 'Gameweek 35', 'Aston Villa (A)']","['09 May 15:00', 'Gameweek 36', 'Sunderland (H)']","['16 May 15:00', 'Gameweek 37', 'West Ham (A)']","['24 May 15:00', 'Gameweek 38', 'Spurs (H)']"
"Crystal Palace","[1, 'ARS (A)', 2]","[2, 'WHU (H)', 2]","['30 Aug 15:00', 'Gameweek 3', 'Newcastle (A)']","['13 Sep 15:00', 'Gameweek 4', 'Burnley (H)']","['21 Sep 16:00', 'Gameweek 5', 'Everton (A)']","['27 Sep 15:00', 'Gameweek 6', 'Leicester (H)']","['04 Oct 15:00', 'Gameweek 7', 'Hull (A)']","['18 Oct 15:00', 'Gameweek 8', 'Chelsea (H)']","['25 Oct 15:00', 'Gameweek 9', 'West Brom (A)']","['03 Nov 20:00', 'Gameweek 10', 'Sunderland (H)']","['08 Nov 15:00', 'Gameweek 11', 'Man Utd (A)']","['23 Nov 13:30', 'Gameweek 12', 'Liverpool (H)']","['29 Nov 15:00', 'Gameweek 13', 'Swansea (A)']","['02 Dec 20:00', 'Gameweek 14', 'Aston Villa (H)']","['06 Dec 15:00', 'Gameweek 15', 'Spurs (A)']","['13 Dec 15:00', 'Gameweek 16', 'Stoke (H)']","['20 Dec 15:00', 'Gameweek 17', 'Man City (A)']","['26 Dec 15:00', 'Gameweek 18', 'Southampton (H)']","['28 Dec 15:00', 'Gameweek 19', 'QPR (A)']","['01 Jan 15:00', 'Gameweek 20', 'Aston Villa (A)']","['10 Jan 15:00', 'Gameweek 21', 'Spurs (H)']","['17 Jan 15:00', 'Gameweek 22', 'Burnley (A)']","['31 Jan 15:00', 'Gameweek 23', 'Everton (H)']","['07 Feb 15:00', 'Gameweek 24', 'Leicester (A)']","['10 Feb 20:00', 'Gameweek 25', 'Newcastle (H)']","['21 Feb 15:00', 'Gameweek 26', 'Arsenal (H)']","['28 Feb 15:00', 'Gameweek 27', 'West Ham (A)']","['03 Mar 19:45', 'Gameweek 28', 'Southampton (A)']","['14 Mar 15:00', 'Gameweek 29', 'QPR (H)']","['21 Mar 15:00', 'Gameweek 30', 'Stoke (A)']","['04 Apr 15:00', 'Gameweek 31', 'Man City (H)']","['11 Apr 15:00', 'Gameweek 32', 'Sunderland (A)']","['18 Apr 15:00', 'Gameweek 33', 'West Brom (H)']","['25 Apr 15:00', 'Gameweek 34', 'Hull (H)']","['02 May 15:00', 'Gameweek 35', 'Chelsea (A)']","['09 May 15:00', 'Gameweek 36', 'Man Utd (H)']","['16 May 15:00', 'Gameweek 37', 'Liverpool (A)']","['24 May 15:00', 'Gameweek 38', 'Swansea (H)']"
"Hull","[1, 'QPR (A)', 14]","[2, 'STK (H)', 2]","['31 Aug 13:30', 'Gameweek 3', 'Aston Villa (A)']","['15 Sep 20:00', 'Gameweek 4', 'West Ham (H)']","['20 Sep 15:00', 'Gameweek 5', 'Newcastle (A)']","['27 Sep 15:00', 'Gameweek 6', 'Man City (H)']","['04 Oct 15:00', 'Gameweek 7', 'Crystal Palace (H)']","['18 Oct 15:00', 'Gameweek 8', 'Arsenal (A)']","['25 Oct 15:00', 'Gameweek 9', 'Liverpool (A)']","['01 Nov 15:00', 'Gameweek 10', 'Southampton (H)']","['08 Nov 15:00', 'Gameweek 11', 'Burnley (A)']","['23 Nov 16:00', 'Gameweek 12', 'Spurs (H)']","['29 Nov 15:00', 'Gameweek 13', 'Man Utd (A)']","['03 Dec 19:45', 'Gameweek 14', 'Everton (A)']","['06 Dec 15:00', 'Gameweek 15', 'West Brom (H)']","['13 Dec 15:00', 'Gameweek 16', 'Chelsea (A)']","['20 Dec 15:00', 'Gameweek 17', 'Swansea (H)']","['26 Dec 15:00', 'Gameweek 18', 'Sunderland (A)']","['28 Dec 15:00', 'Gameweek 19', 'Leicester (H)']","['01 Jan 15:00', 'Gameweek 20', 'Everton (H)']","['10 Jan 15:00', 'Gameweek 21', 'West Brom (A)']","['17 Jan 15:00', 'Gameweek 22', 'West Ham (A)']","['31 Jan 15:00', 'Gameweek 23', 'Newcastle (H)']","['07 Feb 15:00', 'Gameweek 24', 'Man City (A)']","['10 Feb 19:45', 'Gameweek 25', 'Aston Villa (H)']","['21 Feb 15:00', 'Gameweek 26', 'QPR (H)']","['28 Feb 15:00', 'Gameweek 27', 'Stoke (A)']","['03 Mar 19:45', 'Gameweek 28', 'Sunderland (H)']","['14 Mar 15:00', 'Gameweek 29', 'Leicester (A)']","['21 Mar 15:00', 'Gameweek 30', 'Chelsea (H)']","['04 Apr 15:00', 'Gameweek 31', 'Swansea (A)']","['11 Apr 15:00', 'Gameweek 32', 'Southampton (A)']","['18 Apr 15:00', 'Gameweek 33', 'Liverpool (H)']","['25 Apr 15:00', 'Gameweek 34', 'Crystal Palace (A)']","['02 May 15:00', 'Gameweek 35', 'Arsenal (H)']","['09 May 15:00', 'Gameweek 36', 'Burnley (H)']","['16 May 15:00', 'Gameweek 37', 'Spurs (A)']","['24 May 15:00', 'Gameweek 38', 'Man Utd (H)']"
